iter	Logloss
0	0.6927636332
1	0.6923834483
2	0.692100962
3	0.6918218931
4	0.6915410956
5	0.6911649572
6	0.6907863286
7	0.6904125545
8	0.6900377472
9	0.6897657182
10	0.6893903282
11	0.689115776
12	0.6888458927
13	0.6884764698
14	0.6882044143
15	0.6878383292
16	0.6874737011
17	0.6871033046
18	0.6867385838
19	0.6863790419
20	0.6860139834
21	0.6856524746
22	0.685387777
23	0.685028308
24	0.6847653853
25	0.6845058666
26	0.6841446492
27	0.6838853293
28	0.6835302512
29	0.6831760936
30	0.6828251547
31	0.6825683117
32	0.6822185318
33	0.6819605562
34	0.6817077531
35	0.6814492544
36	0.6811034944
37	0.6807563371
38	0.680410915
39	0.6800654994
40	0.6798178156
41	0.6794726186
42	0.6792221665
43	0.6788815061
44	0.6786368754
45	0.6782953342
46	0.6779546804
47	0.6776191394
48	0.6773719125
49	0.6771294276
50	0.6768877374
51	0.6765514877
52	0.6762180196
53	0.6758871807
54	0.6755520105
55	0.6752249996
56	0.6748953329
57	0.6745649113
58	0.6742348936
59	0.6739110483
60	0.6735847857
61	0.6733469698
62	0.6730235484
63	0.6727040874
64	0.6723801692
65	0.6720563703
66	0.6718262169
67	0.6715069877
68	0.6712768078
69	0.6709562871
70	0.6706415084
71	0.670323299
72	0.6700101892
73	0.6697811286
74	0.6694674095
75	0.6691547367
76	0.6689342327
77	0.6686204208
78	0.6683988372
79	0.6680893766
80	0.6677772601
81	0.6675571071
82	0.667249759
83	0.6669460469
84	0.6667269601
85	0.6664179895
86	0.666114178
87	0.6658961905
88	0.6655977898
89	0.6652948591
90	0.6649964054
91	0.6647769279
92	0.6644791961
93	0.664263063
94	0.6639696691
95	0.6637527479
96	0.6635404891
97	0.6632475323
98	0.6630386843
99	0.6628240214
100	0.6626140674
101	0.6623233954
102	0.6620339685
103	0.6617428395
104	0.6614533729
105	0.6612467435
106	0.661038253
107	0.6607515348
108	0.6604625318
109	0.6601765818
110	0.659893175
111	0.6596083376
112	0.6593225466
113	0.6590395901
114	0.6588375502
115	0.6585585078
116	0.6582753658
117	0.6579953366
118	0.6577182545
119	0.6574400928
120	0.6571623021
121	0.6568836768
122	0.6566073365
123	0.6564116809
124	0.6562168068
125	0.6559429963
126	0.6556698481
127	0.6554775304
128	0.6552035875
129	0.655010879
130	0.6547426052
131	0.654548645
132	0.6543582678
133	0.6540900668
134	0.6538973649
135	0.6536318594
136	0.6534451246
137	0.653253403
138	0.65298801
139	0.6527252661
140	0.6524594691
141	0.6521969438
142	0.6520113945
143	0.6517510547
144	0.6515636974
145	0.651379519
146	0.6511950824
147	0.6509393387
148	0.6506788267
149	0.6504950855
150	0.6502397723
151	0.6500614087
152	0.6498048372
153	0.6496235198
154	0.64936871
155	0.6491922537
156	0.6490106053
157	0.648833202
158	0.6485829287
159	0.6484039691
160	0.6482284268
161	0.6479777561
162	0.6477296551
163	0.6474784414
164	0.6472313669
165	0.6469815903
166	0.6468048692
167	0.6465580728
168	0.6463906301
169	0.6461441914
170	0.6458979381
171	0.6456515988
172	0.6454105907
173	0.6451655626
174	0.6449971795
175	0.6448306176
176	0.6446588569
177	0.6444181932
178	0.6441782448
179	0.6439415812
180	0.6437728273
181	0.6436060468
182	0.6433679263
183	0.6431316866
184	0.6429677672
185	0.6427317129
186	0.642566661
187	0.6424009932
188	0.6421683232
189	0.6419334478
190	0.6417006254
191	0.6415371166
192	0.6413052943
193	0.6410781542
194	0.6408475306
195	0.6406166885
196	0.6404550407
197	0.6402289271
198	0.640072955
199	0.6399114066
200	0.6397546596
201	0.6395276984
202	0.6393003133
203	0.6390791072
204	0.6388522585
205	0.6386974388
206	0.6385430826
207	0.6383201877
208	0.6381647852
209	0.6380140914
210	0.637857755
211	0.6376385159
212	0.6374170317
213	0.6371999251
214	0.636978156
215	0.6367598573
216	0.6365435587
217	0.6363898383
218	0.6361725993
219	0.6359561814
220	0.6358061565
221	0.6355892354
222	0.6353784866
223	0.6352307598
224	0.6350131565
225	0.634802315
226	0.6345911953
227	0.6343751219
228	0.6341641413
229	0.6339532932
230	0.6337430941
231	0.6335993674
232	0.6333943473
233	0.6331839826
234	0.6329731676
235	0.6327682469
236	0.63262656
237	0.6324808333
238	0.6323439214
239	0.6322020359
240	0.6319948634
241	0.6317940685
242	0.6315879623
243	0.6313824521
244	0.6311832468
245	0.6309766571
246	0.6308368047
247	0.6307016148
248	0.630561067
249	0.6304245724
250	0.6302241286
251	0.6300221152
252	0.6298267643
253	0.6296262211
254	0.6294876337
255	0.629353861
256	0.6291580862
257	0.6290224791
258	0.6288874679
259	0.628691872
260	0.6285575959
261	0.6283602251
262	0.6282322142
263	0.6280358964
264	0.6278426912
265	0.6276472343
266	0.6275181572
267	0.6273269322
268	0.6271926496
269	0.627067248
270	0.62693227
271	0.6268041929
272	0.6266158091
273	0.626488381
274	0.6262948049
275	0.6261675424
276	0.6259812978
277	0.6258531345
278	0.6257241103
279	0.6255946159
280	0.6254119608
281	0.6252231863
282	0.6250962483
283	0.6249752111
284	0.6247867942
285	0.6246638762
286	0.6245405409
287	0.6244168215
288	0.6242330869
289	0.6240477363
290	0.623869439
291	0.6237453818
292	0.6236261461
293	0.6234409743
294	0.6233218776
295	0.6231992642
296	0.6230788562
297	0.6229032609
298	0.622781429
299	0.6226008137
300	0.6224829753
301	0.6223024262
302	0.6221253806
303	0.6219463547
304	0.6218322449
305	0.6217121747
306	0.6215364602
307	0.6214179728
308	0.6212406291
309	0.6210653782
310	0.6208953857
311	0.6207200355
312	0.6205442283
313	0.6204269263
314	0.6202570134
315	0.6200827758
316	0.6199124455
317	0.619742877
318	0.619568838
319	0.6194600264
320	0.6193473339
321	0.619230979
322	0.6190618078
323	0.6189453138
324	0.6187810236
325	0.6186107596
326	0.6184407671
327	0.6182760464
328	0.618107001
329	0.6179433333
330	0.6177787979
331	0.6176099446
332	0.6174463497
333	0.617282523
334	0.6171179348
335	0.6169568565
336	0.6168486608
337	0.6166844765
338	0.6165217625
339	0.6163596974
340	0.6161962483
341	0.6160923706
342	0.6159817908
343	0.6158233351
344	0.6157175899
345	0.6155599356
346	0.6153962811
347	0.6152895557
348	0.6151868833
349	0.615028176
350	0.6148701111
351	0.6147131456
352	0.6145540939
353	0.6143968503
354	0.614238792
355	0.6140871512
356	0.6139828497
357	0.613825606
358	0.6136730843
359	0.6135739949
360	0.6134157578
361	0.6132640507
362	0.6131113039
363	0.6129604181
364	0.612803883
365	0.612651719
366	0.6124999722
367	0.6123488082
368	0.612197525
369	0.6120474736
370	0.6119016873
371	0.6117498279
372	0.6116003659
373	0.6114497383
374	0.611305409
375	0.6111552583
376	0.6110102402
377	0.6108611955
378	0.6107116871
379	0.6105670267
380	0.6104676326
381	0.6103721195
382	0.6102281941
383	0.6100831164
384	0.6099384891
385	0.6098418368
386	0.6096982559
387	0.6095540457
388	0.6094582876
389	0.6093647348
390	0.6092683805
391	0.6091232498
392	0.608983265
393	0.6088431742
394	0.6087001562
395	0.608558774
396	0.6084654993
397	0.6083715823
398	0.6082821356
399	0.6081420051
400	0.60805081
401	0.6079102026
402	0.6077704165
403	0.6076319814
404	0.6075445811
405	0.6074042651
406	0.6072642472
407	0.6071774827
408	0.6070386238
409	0.6069033278
410	0.6068148017
411	0.6066750553
412	0.6065407991
413	0.6064050131
414	0.6062705318
415	0.606135918
416	0.6060027679
417	0.6059122615
418	0.6058282389
419	0.6057371497
420	0.6056046221
421	0.6055187583
422	0.6054268148
423	0.6052963667
424	0.6051621768
425	0.6050328414
426	0.6049031483
427	0.6047675808
428	0.6046385301
429	0.6045082013
430	0.6044230726
431	0.6042931345
432	0.6042090919
433	0.6041241619
434	0.6039953298
435	0.6038662526
436	0.6037378775
437	0.6036069989
438	0.6034830676
439	0.6033544607
440	0.6032687094
441	0.6031890578
442	0.6030623582
443	0.6029800706
444	0.602856391
445	0.6027261946
446	0.602602515
447	0.6025210685
448	0.602439185
449	0.6023579439
450	0.6022326085
451	0.6021535463
452	0.6020703316
453	0.6019503011
454	0.6018247737
455	0.6017000079
456	0.6015802622
457	0.6015009748
458	0.6013764938
459	0.6012566288
460	0.6011326114
461	0.6010548472
462	0.6009758578
463	0.600855271
464	0.6007345054
465	0.6006565756
466	0.6005803479
467	0.6004607214
468	0.6003814803
469	0.6003051334
470	0.6002311044
471	0.6001518369
472	0.6000323627
473	0.5999166899
474	0.5997960501
475	0.5996801257
476	0.5995597906
477	0.599444396
478	0.5993236502
479	0.5992528001
480	0.5991324451
481	0.5990179843
482	0.5989015897
483	0.5987864865
484	0.5987113052
485	0.598596606
486	0.5984812511
487	0.5984055201
488	0.5982910924
489	0.5982193152
490	0.5981473989
491	0.5980703566
492	0.5979995463
493	0.5978846219
494	0.5977729095
495	0.5976584024
496	0.5975477894
497	0.5974757142
498	0.5973657502
499	0.5972917676
500	0.5971805586
501	0.5970711642
502	0.5969562862
503	0.5968464679
504	0.5967368947
505	0.5966261625
506	0.5965163443
507	0.5964064201
508	0.5962973568
509	0.5962264604
510	0.5961179203
511	0.5960493551
512	0.5959381329
513	0.5958707465
514	0.5957624978
515	0.5956572692
516	0.5955476032
517	0.5954812368
518	0.5954118901
519	0.5953033898
520	0.5951989492
521	0.5950881044
522	0.5949843129
523	0.5949170391
524	0.5948131283
525	0.5947446161
526	0.5946412881
527	0.5945716302
528	0.5944668187
529	0.5943621331
530	0.594257964
531	0.5941924983
532	0.5940880908
533	0.5939850807
534	0.5938795076
535	0.5937763784
536	0.5936768055
537	0.5935723318
538	0.5935071508
539	0.5934072137
540	0.5933400922
541	0.5932776729
542	0.5932117634
543	0.5931492647
544	0.593080865
545	0.5929815438
546	0.5929178662
547	0.5928545859
548	0.5927906831
549	0.5927276148
550	0.5926643411
551	0.5925623112
552	0.5924669173
553	0.5923647549
554	0.592265692
555	0.5921641721
556	0.5921035939
557	0.5920033587
558	0.5919427011
559	0.5918462409
560	0.5917804042
561	0.5916846395
562	0.5915888614
563	0.5915276077
564	0.5914268626
565	0.5913310846
566	0.5912682745
567	0.5912094778
568	0.5911462373
569	0.591050095
570	0.5909541779
571	0.5908961097
572	0.5908382204
573	0.5907407138
574	0.5906451278
575	0.5905848079
576	0.5904884073
577	0.5904291868
578	0.590373324
579	0.5902770824
580	0.5902159678
581	0.5901236203
582	0.5900277827
583	0.5899713172
584	0.5898800691
585	0.5897840924
586	0.5896911621
587	0.5895963576
588	0.5895056261
589	0.5894477831
590	0.5893559522
591	0.5892656777
592	0.5891702837
593	0.5890800092
594	0.5890215569
595	0.5889301234
596	0.5888408952
597	0.5887865557
598	0.5886961553
599	0.5886052847
600	0.5885154075
601	0.5884238283
602	0.5883657402
603	0.5883123544
604	0.5882206625
605	0.5881671442
606	0.5881119238
607	0.5880207353
608	0.5879341563
609	0.5878782074
610	0.5878223181
611	0.5877357788
612	0.5876457426
613	0.5875596603
614	0.5874737038
615	0.5874175628
616	0.5873631305
617	0.5872776906
618	0.5872220331
619	0.5871347719
620	0.5870486829
621	0.5869620575
622	0.5868751473
623	0.5867913167
624	0.5867052211
625	0.5866196487
626	0.5865642163
627	0.5865114927
628	0.5864263111
629	0.5863390366
630	0.5862913662
631	0.5862379074
632	0.5861502621
633	0.5860699084
634	0.5860169596
635	0.5859643353
636	0.5858825644
637	0.5858300328
638	0.5857448181
639	0.5856635107
640	0.5856126282
641	0.5855273936
642	0.5854775177
643	0.5854239133
644	0.5853710373
645	0.5852880213
646	0.5852070318
647	0.5851252278
648	0.5850438343
649	0.5849636594
650	0.5849114259
651	0.5848615501
652	0.5847800838
653	0.5847302609
654	0.5846486092
655	0.5845660236
656	0.5844843719
657	0.5844392512
658	0.5843569438
659	0.5842765768
660	0.5841967199
661	0.5841146443
662	0.5840388735
663	0.5839881235
664	0.5839416915
665	0.5838599006
666	0.5837788052
667	0.5837024384
668	0.5836558541
669	0.5835752222
670	0.5835298035
671	0.5834811595
672	0.5834297207
673	0.5833860172
674	0.5833040807
675	0.5832282702
676	0.5831808845
677	0.583131618
678	0.5830544432
679	0.5829789109
680	0.5829337703
681	0.5828565227
682	0.5828084747
683	0.582731684
684	0.5826549133
685	0.5826079382
686	0.5825324323
687	0.5824557675
688	0.5823802021
689	0.5823029015
690	0.5822315812
691	0.5821815663
692	0.582109948
693	0.582033217
694	0.5819557177
695	0.5819111533
696	0.581840694
697	0.5817639629
698	0.5817165706
699	0.5816444225
700	0.5815688372
701	0.5814983646
702	0.5814226601
703	0.5813801024
704	0.5813340876
705	0.5812895828
706	0.5812143816
707	0.5811433262
708	0.5810993777
709	0.5810283621
710	0.5809518761
711	0.5809086296
712	0.5808374352
713	0.580794043
714	0.5807218088
715	0.5806765954
716	0.5806065003
717	0.5805348357
718	0.5804629922
719	0.5803917845
720	0.5803206431
721	0.5802759462
722	0.5802353024
723	0.5801641477
724	0.5800934566
725	0.5800528195
726	0.5800068047
727	0.579940935
728	0.5798684822
729	0.5797988839
730	0.5797264311
731	0.5796609057
732	0.5795897312
733	0.579518199
734	0.5794788003
735	0.579411712
736	0.5793409281
737	0.5792693893
738	0.5792033275
739	0.5791619354
740	0.5790918403
741	0.5790251427
742	0.5789818499
743	0.5789163642
744	0.578873535
745	0.5788349642
746	0.5787647963
747	0.5787268612
748	0.5786611239
749	0.5785897374
750	0.5785246889
751	0.5784847405
752	0.5784179502
753	0.5783530143
754	0.5782862769
755	0.5782152812
756	0.5781782998
757	0.5781115492
758	0.5780458517
759	0.5780064662
760	0.5779409342
761	0.5778751638
762	0.577809347
763	0.5777445038
764	0.577678793
765	0.5776137246
766	0.577548537
767	0.5775080787
768	0.5774713225
769	0.5774062408
770	0.5773702463
771	0.5773301654
772	0.5772910515
773	0.5772266057
774	0.577160875
775	0.5771247347
776	0.5770870182
777	0.5770228505
778	0.576961822
779	0.5768960648
780	0.5768349369
781	0.5767690606
782	0.5767080254
783	0.5766681698
784	0.5766314202
785	0.5765940679
786	0.5765573647
787	0.5765200721
788	0.5764576726
789	0.5764209562
790	0.5763584971
791	0.5763216416
792	0.5762593614
793	0.5761981275
794	0.5761594507
795	0.5760994355
796	0.5760376122
797	0.5759763718
798	0.5759151181
799	0.5758538047
800	0.5757926239
801	0.5757311847
802	0.5756942961
803	0.5756586393
804	0.5755972597
805	0.5755654706
806	0.5755046739
807	0.5754422347
808	0.5754061209
809	0.5753708879
810	0.5753364563
811	0.5752745403
812	0.575236645
813	0.5751795769
814	0.5751193364
815	0.5750860439
816	0.575046334
817	0.5749890672
818	0.5749277208
819	0.5748944018
820	0.5748375389
821	0.5747762455
822	0.574715462
823	0.5746588243
824	0.5746261544
825	0.5745883518
826	0.5745532115
827	0.5744970838
828	0.5744408435
829	0.5744069881
830	0.5743450854
831	0.5742895934
832	0.5742530293
833	0.5742186374
834	0.5741854575
835	0.5741279125
836	0.574094726
837	0.5740654469
838	0.5740304987
839	0.5739730597
840	0.573941297
841	0.5739053488
842	0.5738709701
843	0.573837214
844	0.5737798148
845	0.5737466945
846	0.5737156802
847	0.5736574531
848	0.5736053652
849	0.5735466149
850	0.5734901958
851	0.5734579961
852	0.5734247764
853	0.5733924641
854	0.5733349853
855	0.5733043419
856	0.5732707183
857	0.5732184913
858	0.5731615225
859	0.5731299851
860	0.5730935865
861	0.5730401807
862	0.5729831523
863	0.5729303294
864	0.5728732877
865	0.5728428894
866	0.5727881922
867	0.5727567474
868	0.5727271636
869	0.5726949904
870	0.5726618436
871	0.5726296703
872	0.5725754764
873	0.572523733
874	0.5724890894
875	0.5724573135
876	0.5724037488
877	0.5723518795
878	0.5723177658
879	0.5722647111
880	0.572211153
881	0.5721576413
882	0.5721062289
883	0.572072857
884	0.572042452
885	0.5719893972
886	0.5719345411
887	0.5719052354
888	0.571875347
889	0.5718431804
890	0.5718174775
891	0.5717851784
892	0.5717561444
893	0.5717013743
894	0.5716476573
895	0.5715993113
896	0.5715643697
897	0.5715147323
898	0.5714621743
899	0.571409093
900	0.5713607272
901	0.5713306202
902	0.571297076
903	0.5712699228
904	0.5712379879
905	0.5712117023
906	0.5711586078
907	0.5711090697
908	0.5710557302
909	0.5710073511
910	0.5709541904
911	0.5709262623
912	0.5708979236
913	0.5708428886
914	0.5708139075
915	0.5707654026
916	0.5707170698
917	0.5706869695
918	0.5706594851
919	0.5706043839
920	0.5705565015
