iter	Passed	Remaining
0	0	847
1	1	795
2	2	757
3	2	730
4	3	717
5	4	711
6	4	702
7	5	698
8	6	693
9	6	691
10	7	704
11	8	715
12	9	719
13	10	715
14	10	710
15	11	706
16	12	703
17	12	700
18	13	697
19	14	694
20	14	690
21	15	690
22	16	685
23	16	683
24	17	681
25	18	678
26	18	676
27	19	672
28	20	686
29	21	686
30	21	685
31	22	682
32	23	681
33	23	678
34	24	676
35	25	674
36	25	672
37	26	674
38	27	672
39	27	671
40	28	669
41	29	668
42	29	666
43	30	665
44	31	663
45	31	662
46	32	661
47	33	660
48	33	659
49	34	657
50	35	656
51	35	655
52	36	655
53	37	654
54	38	653
55	38	652
56	39	651
57	40	650
58	40	649
59	41	648
60	42	647
61	42	646
62	43	645
63	44	644
64	44	643
65	45	642
66	46	642
67	46	641
68	47	640
69	48	641
70	49	643
71	49	642
72	50	641
73	51	639
74	51	638
75	52	637
76	53	636
77	53	635
78	54	634
79	55	633
80	55	632
81	56	631
82	57	630
83	57	629
84	58	627
85	58	626
86	59	625
87	60	624
88	60	623
89	61	623
90	62	622
91	62	621
92	63	620
93	64	620
94	65	619
95	65	618
96	66	617
97	66	616
98	67	615
99	68	614
100	68	613
101	69	614
102	70	614
103	71	618
104	72	618
105	73	619
106	74	619
107	75	619
108	75	619
109	76	619
110	77	619
111	78	623
112	79	624
113	80	626
114	81	626
115	82	627
116	83	627
117	84	630
118	85	630
119	86	632
120	87	632
121	87	632
122	88	631
123	89	631
124	90	630
125	91	632
126	91	631
127	92	630
128	93	631
129	94	631
130	95	631
131	96	632
132	97	632
133	97	632
134	98	631
135	99	631
136	100	630
137	100	629
138	101	628
139	102	627
140	102	627
141	103	627
142	104	627
143	105	626
144	106	627
145	107	627
146	107	626
147	108	625
148	109	625
149	110	625
150	111	624
151	111	623
152	112	624
153	113	623
154	114	623
155	115	622
156	115	622
157	116	621
158	117	622
159	118	621
160	119	620
161	119	619
162	120	618
163	121	617
164	121	616
165	122	616
166	123	615
167	123	614
168	124	613
169	125	613
170	126	613
171	127	612
172	128	612
173	128	611
174	129	610
175	130	609
176	131	609
177	131	608
178	132	607
179	133	607
180	134	606
181	134	606
182	135	605
183	136	606
184	137	605
185	138	605
186	138	604
187	139	603
188	140	602
189	141	602
190	142	601
191	142	601
192	143	600
193	144	599
194	144	598
195	145	597
196	146	596
197	147	595
198	147	595
199	148	594
200	149	593
201	150	593
202	151	593
203	151	592
204	152	591
205	153	590
206	153	589
207	154	589
208	155	588
209	156	587
210	156	586
211	157	585
212	158	584
213	159	584
214	159	583
215	160	583
216	161	582
217	162	581
218	162	581
219	163	580
220	164	579
221	165	579
222	166	578
223	166	578
224	167	577
225	168	577
226	169	577
227	170	577
228	171	576
229	172	576
230	172	575
231	173	575
232	174	574
233	175	574
234	176	573
235	176	572
236	177	572
237	178	571
238	179	570
239	180	570
240	180	569
241	181	569
242	182	568
243	183	568
244	184	567
245	184	566
246	185	566
247	186	565
248	187	564
249	188	564
250	188	563
251	189	563
252	190	562
